StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Y/N,Consent Y/N_DO,Q110,Q110_DO,Mental,Mental_DO,MeditationExp,MeditationExp_DO,FirstLanguage,EngLevel,EngLevel_DO,Ipip1,Ipip2,Ipip3,Ipip4,Ipip5,Ipip6,Ipip7,Ipip8,Ipip9,Ipip10,Ipip11,Ipip12,Ipip13,Ipip14,Ipip15,Ipip16,Ipip17,Ipip18,Ipip19,Ipip20,lock14b_First Click,lock14b_Last Click,lock14b_Page Submit,lock14b_Click Count,lock14d_First Click,lock14d_Last Click,lock14d_Page Submit,lock14d_Click Count,lock14f_First Click,lock14f_Last Click,lock14f_Page Submit,lock14f_Click Count,lock14h_First Click,lock14h_Last Click,lock14h_Page Submit,lock14h_Click Count,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q129_First Click,Q129_Last Click,Q129_Page Submit,Q129_Click Count,Stai1,Stai2,Stai3,Stai4,Stai5,Stai6,Stai7,Stai8,Stai9,Stai10,Stai11,Stai12,Stai13,Stai14,Stai15,Stai16,Stai17,Stai18,Stai19,Stai20,Sam1,Sam2,Sam3,Age,Gender,Gender_5_TEXT,Gender_DO,CountryBirth,CountryLive,Student,Student_DO,Univ,Job,FL_166_DO,FL_123_DO,Moderator-Neuroticism_DO,DVs_DO
2022-03-22 18:40:05,2022-03-22 18:58:49,0,100,1124,1,2022-03-22 18:58:50,R_TuN7xTMLA9zxh6N,anonymous,LOYO,1,1|2,1,2|1,4,4|1,2,1|2,English,3,2|5|3|1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,,,,,,,,,,,,,973.553,973.553,974.09,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,999,2,,1|6|4|3|2|5,Us,Us,2,1|2,Lmu,,,,NeuroticismIntro|Ipip17|Ipip5|Ipip7|Ipip10|Ipip12|Ipip8|Ipip1|Ipip20|Ipip4|Ipip13|Ipip16|Ipip15|Ipip14|Ipip19|Ipip11|Ipip3|Ipip18|Ipip6|Ipip2|Ipip9,StressIntro|Stai7|Stai4|Stai12|Stai13|Stai18|Stai11|Stai9|Stai5|Stai8|Stai3|Stai20|Stai10|Stai16|Stai19|Stai1|Stai2|Stai6|Stai15|Stai17|Stai14
2022-03-22 18:59:11,2022-03-22 19:18:11,0,100,1139,1,2022-03-22 19:18:11,R_sMdFFBVyJocxGfL,anonymous,LOYO,1,2|1,1,2|1,4,4|1,2,2|1,English,3,2|1|3|5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,0,0,1.121,0,,,,,,,,,913.799,913.799,914.647,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,999,2,,4|6|3|5|1|2,Us,Us,2,2|1,Lmu,,,Condition5c:Smith,NeuroticismIntro|Ipip13|Ipip20|Ipip1|Ipip5|Ipip17|Ipip18|Ipip6|Ipip10|Ipip3|Ipip19|Ipip8|Ipip15|Ipip7|Ipip16|Ipip9|Ipip11|Ipip14|Ipip2|Ipip4|Ipip12,StressIntro|Stai18|Stai17|Stai8|Stai20|Stai2|Stai13|Stai4|Stai1|Stai9|Stai3|Stai11|Stai6|Stai15|Stai14|Stai12|Stai19|Stai7|Stai16|Stai10|Stai5
2022-03-22 19:23:42,2022-03-22 19:48:21,0,100,1479,1,2022-03-22 19:48:21,R_SJijMuqXPCAEKKl,anonymous,SPRI,1,2|1,1,2|1,4,4|1,2,2|1,999,3,2|1|3|5,1,1,2,1,1,2,2,2,3,3,4,4,2,2,4,3,3,3,4,4,,,,,152.275,152.275,843.646,1,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,2,3,1,1,3,1,4,3,1,1,1,3,3,2,1,3,3,8,3,7,999,2,,6|5|2|3|4|1,999,999,2,1|2,999,,,,NeuroticismIntro|Ipip4|Ipip1|Ipip8|Ipip10|Ipip17|Ipip5|Ipip2|Ipip14|Ipip13|Ipip16|Ipip20|Ipip6|Ipip15|Ipip18|Ipip3|Ipip11|Ipip9|Ipip12|Ipip7|Ipip19,StressIntro|Stai12|Stai14|Stai16|Stai11|Stai13|Stai19|Stai4|Stai18|Stai7|Stai1|Stai20|Stai3|Stai10|Stai5|Stai2|Stai17|Stai15|Stai6|Stai8|Stai9
2022-03-22 19:54:40,2022-03-22 20:12:02,0,100,1041,1,2022-03-22 20:12:03,R_3D7466Fmxa1RWMl,anonymous,QUEE,1,2|1,1,2|1,4,1|4,2,1|2,English,3,3|1|2|5,5,4,4,4,5,4,3,5,4,5,4,2,4,3,3,3,2,2,4,5,,,,,,,,,,,,,,,,,0,0,1.008,0,,,,,187.728,845.511,849.398,8,,,,,3,3,3,2,2,2,3,2,1,2,2,3,1,3,3,3,2,2,3,2,5,6,3,19,1,,5|3|1|4|2|6,"Australia ",Australia,2,1|2,University of Queensland,,,Condition5b:TheOldMan,NeuroticismIntro|Ipip11|Ipip4|Ipip7|Ipip10|Ipip1|Ipip20|Ipip15|Ipip12|Ipip9|Ipip14|Ipip13|Ipip6|Ipip18|Ipip3|Ipip16|Ipip5|Ipip8|Ipip17|Ipip19|Ipip2,StressIntro|Stai5|Stai10|Stai1|Stai9|Stai4|Stai11|Stai8|Stai16|Stai14|Stai20|Stai3|Stai15|Stai17|Stai12|Stai6|Stai19|Stai18|Stai2|Stai7|Stai13
2022-03-22 20:17:44,2022-03-22 20:36:19,0,100,1115,1,2022-03-22 20:36:20,R_2fr1SRZbINTZqfj,anonymous,QUEE,1,1|2,1,1|2,4,1|4,2,1|2,German/English,3,5|3|2|1,3,2,2,4,4,2,4,4,1,2,3,3,3,3,3,3,3,3,4,3,,,,,,,,,0,0,843.689,0,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,1,2,2,3,3,3,2,1,2,1,2,2,2,5,5,5,20,2,,1|5|3|4|6|2,"Germany ","Australia ",2,1|2,UQ,,,,NeuroticismIntro|Ipip1|Ipip6|Ipip4|Ipip18|Ipip20|Ipip5|Ipip7|Ipip12|Ipip13|Ipip8|Ipip3|Ipip17|Ipip19|Ipip11|Ipip2|Ipip9|Ipip15|Ipip10|Ipip14|Ipip16,StressIntro|Stai3|Stai12|Stai9|Stai1|Stai5|Stai6|Stai17|Stai11|Stai14|Stai20|Stai18|Stai19|Stai7|Stai10|Stai8|Stai15|Stai4|Stai16|Stai13|Stai2
2022-03-22 20:40:09,2022-03-22 21:03:33,0,100,1403,1,2022-03-22 21:03:33,R_3Oi5YMdSB6CGXlg,anonymous,QUEE,1,1|2,1,1|2,4,1|4,2,2|1,"English ",3,1|3|2|5,4,3,4,4,5,4,4,5,4,5,4,3,3,1,3,2,2,4,1,2,,,,,,,,,,,,,934.983,934.983,935.638,1,,,,,,,,,,,,,,,,,4,4,1,2,4,1,2,3,1,4,3,1,1,1,4,4,2,1,4,4,8,3,9,18,2,,5|2|1|4|3|6,Australia,"Australia ",2,2|1,"University of Queensland ",,,,NeuroticismIntro|Ipip5|Ipip14|Ipip4|Ipip17|Ipip15|Ipip8|Ipip7|Ipip12|Ipip2|Ipip16|Ipip11|Ipip3|Ipip18|Ipip13|Ipip20|Ipip1|Ipip19|Ipip6|Ipip9|Ipip10,StressIntro|Stai11|Stai16|Stai2|Stai10|Stai8|Stai14|Stai7|Stai9|Stai1|Stai4|Stai20|Stai18|Stai3|Stai17|Stai13|Stai15|Stai19|Stai5|Stai6|Stai12
2022-03-22 21:09:36,2022-03-22 21:10:40,0,100,64,1,2022-03-22 21:10:41,R_VXxoQDq7KVY8QpP,anonymous,QUEE,1,1|2,2,2|1,4,1|4,2,2|1,English,3,2|3|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23 04:12:22,2022-03-23 04:14:37,0,100,135,1,2022-03-23 04:14:38,R_1kNZA4ahego9lqJ,anonymous,QUEE,1,1|2,1,2|1,4,1|4,2,1|2,Mandarin,5,5|2|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23 06:05:03,2022-03-23 06:28:05,0,100,1382,1,2022-03-23 06:28:06,R_vITHqUUDxnG3xXX,anonymous,QUEE,1,1|2,1,2|1,4,4|1,2,1|2,"Chinese ",3,1|2|3|5,2,2,2,4,4,3,4,4,4,4,2,5,3,2,4,4,3,3,3,4,,,,,,,,,,,,,,,,,0,0,1.009,0,0,0,915.946,0,,,,,,,,,4,4,1,1,4,1,2,3,1,4,4,3,1,1,4,4,1,1,3,3,6,2,5,20,2,,3|2|1|5|4|6,"China ",Australia,2,2|1,Uq,,,Condition5a:Silverview,NeuroticismIntro|Ipip5|Ipip11|Ipip2|Ipip3|Ipip19|Ipip14|Ipip10|Ipip6|Ipip17|Ipip9|Ipip1|Ipip16|Ipip12|Ipip15|Ipip4|Ipip8|Ipip7|Ipip18|Ipip13|Ipip20,StressIntro|Stai17|Stai7|Stai8|Stai1|Stai12|Stai20|Stai4|Stai3|Stai18|Stai14|Stai11|Stai6|Stai19|Stai10|Stai15|Stai16|Stai13|Stai2|Stai9|Stai5
2022-03-23 06:05:55,2022-03-23 06:32:37,0,100,1602,1,2022-03-23 06:32:38,R_UT4kKfQA8N1zt0B,anonymous,NORT1,1,2|1,1,2|1,4,1|4,2,2|1,"English ",3,5|1|2|3,,,,,,,,,,,,,,,,,,,,,14.439,339.524,926.623,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,1|4|5|2|6|3,,,,1|2,,,,,NeuroticismIntro|Ipip12|Ipip13|Ipip16|Ipip11|Ipip17|Ipip4|Ipip9|Ipip14|Ipip15|Ipip20|Ipip5|Ipip7|Ipip19|Ipip3|Ipip6|Ipip8|Ipip18|Ipip10|Ipip2|Ipip1,StressIntro|Stai14|Stai5|Stai18|Stai16|Stai6|Stai2|Stai8|Stai10|Stai17|Stai20|Stai1|Stai15|Stai7|Stai13|Stai12|Stai19|Stai3|Stai9|Stai11|Stai4
2022-03-16 06:45:30,2022-03-16 06:45:49,0,3,19,0,2022-03-23 06:45:57,R_2AXUTM5slygEUbL,anonymous,NEWF,1,2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23 07:35:23,2022-03-23 07:36:51,0,100,87,1,2022-03-23 07:36:51,R_3oYHl5flDEUJp0w,anonymous,WITT,1,2|1,2,1|2,1,4|1,1,1|2,English,3,1|2|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23 07:37:42,2022-03-23 07:39:24,0,100,101,1,2022-03-23 07:39:24,R_3NyNAzuFKwMyQpv,anonymous,WITT,1,1|2,2,1|2,1,1|4,1,1|2,"English ",3,2|1|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
